Index,avg_price_per_kg
1,10.82
2,11.25
3,10.0
4,8.739999999999998
5,8.19
6,4.65
7,3.64
8,7.14
9,9.27
10,9.290000000000001
11,6.17
12,5.75
13,9.02
14,4.44
15,4.55
16,6.110000000000004
17,7.2
18,4.56
19,10.23
20,6.19
21,5.3
22,4.89
23,5.07
24,7.78
25,5.560000000000001
26,4.86
27,8.11
28,8.07
29,7.86
30,7.13
31,7.71
32,5.57
33,9.96
34,7.650000000000003
35,4.87
36,9.840000000000002
37,10.930000000000001
38,11.12
39,6.36
40,7.04
41,8.29
42,8.32
43,4.92
44,6.16
45,5.560000000000001
46,5.02
47,5.0
48,5.560000000000001
49,6.110000000000004
50,5.3
51,2.0
52,6.24
53,7.47
54,14.21
55,8.22
56,6.23
57,12.0
58,9.13
59,8.12
60,6.0
61,6.88
62,11.12
63,6.19
64,8.79
65,8.34
66,5.51
67,6.85
68,5.55
69,5.52
70,7.1
71,5.46
72,4.56
73,2.9
74,8.0
75,6.69
76,5.35
77,6.110000000000004
78,9.27
79,10.930000000000001
80,6.19
81,7.87
82,5.0
83,5.9
84,5.560000000000001
85,1.11
86,6.05
87,7.47
88,11.12
89,4.61
90,7.12
91,9.38
92,9.81
93,7.28
94,5.69
95,6.0
96,6.49
97,8.200000000000001
98,8.9
99,6.91
100,5.560000000000001
101,10.930000000000001
102,7.16
103,6.0
104,7.650000000000003
105,7.2
106,8.739999999999998
107,8.61
108,2.73
109,10.0
110,5.0
111,3.64
112,7.65
113,6.110000000000004
114,4.24
115,6.12
116,10.0
117,5.33
118,9.58
119,4.44
120,7.46
121,5.95
122,4.17
123,9.97
124,4.5
125,8.31
126,7.25
127,4.32
128,8.31
129,9.840000000000002
130,5.69
131,4.64
132,5.78
133,9.26
134,8.18
135,1.25
136,6.04
137,7.78
138,7.39
139,7.57
140,5.63
141,8.07
142,5.52
143,8.86
144,9.28
145,8.81
146,6.67
147,5.38
148,9.42
149,5.46
150,8.83
151,10.0
152,6.32
153,4.41
154,8.27
155,7.1
156,10.930000000000001
157,4.88
158,4.53
159,6.0
160,6.0
161,7.98
162,9.93
163,7.28
164,8.48
165,6.26
166,8.95
167,7.78
168,7.23
169,5.0
170,8.85
171,9.73
172,7.7
173,5.0
174,12.0
175,6.06
176,4.64
177,6.84
178,5.560000000000001
179,5.56
180,6.81
181,5.0
182,0.25
183,9.29
184,7.04
185,7.17
186,0.25
187,3.64
188,9.840000000000002
189,7.62
190,6.23
191,5.560000000000001
192,8.14
193,5.0
194,4.54
195,10.0
196,8.75
197,9.87
198,7.78
199,6.0
200,6.83
201,6.88
202,2.43
203,8.1
204,1.11
205,6.33
206,4.3
207,7.84
208,7.78
209,7.6
210,8.18
211,7.33
212,14.21
213,6.27
214,6.37
215,9.37
216,5.560000000000001
217,5.71
218,5.02
219,10.16
220,7.38
221,5.55
222,5.02
223,7.84
224,10.930000000000001
225,11.39
226,6.39
227,4.04
228,5.45
229,9.87
230,5.560000000000001
231,4.86
232,10.32
233,7.650000000000003
234,5.45
235,6.67
236,6.110000000000004
237,8.39
238,8.739999999999998
239,4.02
240,6.17
241,4.44
242,5.24
243,6.34
244,8.0
245,10.930000000000001
246,7.08
247,6.0
248,7.650000000000003
249,5.33
250,9.0
251,6.55
252,9.65
253,7.8
254,5.32
255,6.670000000000001
256,4.89
257,6.81
258,8.31
259,8.739999999999998
260,8.200000000000001
261,10.67
262,10.67
263,6.11
264,5.67
265,5.0
266,6.6
267,4.51
268,6.33
269,3.4
270,6.670000000000001
271,6.32
272,6.670000000000001
273,10.930000000000001
274,3.41
275,7.71
276,9.97
277,4.9
278,6.670000000000001
279,6.0
280,6.88
281,5.02
282,7.2
283,6.0
284,4.44
285,9.29
286,4.8
287,6.17
288,5.45
289,8.200000000000001
290,9.58
291,6.0
292,5.69
293,5.51
294,1.25
295,6.61
296,7.0
297,8.14
298,9.44
299,10.42
300,6.54
301,5.560000000000001
302,6.48
303,4.44
304,6.07
305,8.66
306,8.739999999999998
307,6.17
308,3.33
309,8.29
310,6.36
311,6.11
312,7.34
313,5.33
314,8.18
315,10.67
316,8.739999999999998
317,6.110000000000004
318,4.47
319,4.86
320,6.26
321,6.21
322,6.670000000000001
323,4.68
324,7.37
325,5.0
326,3.89
327,7.7
328,5.95
329,10.67
330,7.59
331,5.07
332,5.55
333,9.2
334,5.22
335,8.200000000000001
336,8.0
337,6.32
338,6.67
339,7.5
340,4.54
341,6.670000000000001
342,5.02
343,9.17
344,7.0
345,9.33
346,6.81
347,9.48
348,5.06
349,8.85
350,7.84
351,8.27
352,9.52
353,7.650000000000003
354,11.17
355,7.47
356,6.670000000000001
357,5.71
358,8.61
359,8.9
360,8.200000000000001
361,6.77
362,6.19
363,6.93
364,9.07
365,6.37
366,7.19
367,7.63
368,7.49
369,5.58
370,9.34
371,4.58
372,6.670000000000001
373,6.110000000000004
374,9.26
375,7.24
376,7.49
377,5.0
378,5.84
379,7.650000000000003
380,6.79
381,4.58
382,7.1
383,7.02
384,8.64
385,2.5
386,8.06
387,6.0
388,8.37
389,3.33
390,8.44
391,6.71
392,5.02
393,9.37
394,9.87
395,1.53
396,8.28
397,6.670000000000001
398,7.92
399,7.71
400,6.62
401,5.69
402,3.33
403,10.0
404,5.98
405,5.0
406,9.290000000000001
407,5.13
408,7.17
409,4.67
410,10.0
411,9.81
412,4.24
413,5.27
414,8.28
415,9.290000000000001
416,4.35
417,21.24
418,5.33
419,10.0
420,6.670000000000001
421,2.68
422,4.62
423,6.55
424,4.51
425,6.37
426,9.87
427,6.9
428,7.78
429,8.67
430,7.52
431,10.19
432,8.59
433,8.64
434,10.0
435,6.26
436,7.89
437,4.55
438,5.560000000000001
439,6.05
440,5.93
441,9.42
442,6.0
443,10.0
444,9.85
445,9.27
446,10.49
447,7.65
448,8.200000000000001
449,8.74
450,8.29
451,10.0
452,6.97
453,9.29
454,7.41
455,6.83
456,8.0
457,8.47
458,8.99
459,4.44
460,7.56
461,5.0
462,8.65
463,5.560000000000001
464,5.61
465,8.83
466,4.0
467,4.86
468,6.55
469,5.560000000000001
470,7.84
471,8.69
472,8.14
473,5.89
474,5.22
475,5.5
476,10.16
477,21.24
478,4.12
479,6.49
480,5.560000000000001
481,4.64
482,7.650000000000003
483,4.35
484,3.28
485,8.69
486,7.46
487,8.12
488,3.33
489,2.68
490,4.12
491,5.69
492,7.14
493,7.78
494,7.87
495,10.54
496,6.86
497,5.32
498,8.29
499,8.28
500,8.739999999999998
501,9.97
502,14.0
503,8.5
504,9.87
505,6.55
506,10.0
507,7.33
508,6.67
509,7.55
510,5.33
511,8.739999999999998
512,7.1
513,6.48
514,4.44
515,7.68
516,8.739999999999998
517,8.7
518,6.56
519,6.88
520,4.67
521,9.0
522,6.08
523,6.62
524,6.49
525,7.25
526,9.2
527,7.650000000000003
528,3.0
529,4.44
530,9.8
531,9.840000000000002
532,5.26
533,8.739999999999998
534,7.16
535,9.16
536,8.739999999999998
537,7.02
538,5.83
539,6.15
540,8.9
541,9.54
542,4.94
543,6.87
544,9.48
545,7.78
546,5.84
547,8.29
548,6.36
549,4.37
550,6.61
551,5.63
552,6.0
553,6.110000000000004
554,4.37
555,7.8
556,4.92
557,10.0
558,7.7
559,4.86
560,5.95
561,8.51
562,4.5
563,5.560000000000001
564,5.46
565,6.75
566,4.37
567,9.28
568,6.88
569,9.0
570,8.42
571,4.8
572,5.83
573,9.19
574,8.0
575,5.17
576,5.67
577,6.13
578,5.37
579,7.5
580,10.930000000000001
581,5.560000000000001
582,5.2
583,3.33
584,4.02
585,8.86
586,8.200000000000001
587,7.0
588,14.0
589,6.62
590,7.19
591,9.42
592,7.2
593,6.14
594,6.36
595,5.56
596,6.110000000000004
597,6.47
598,6.67
599,7.19
600,5.54
601,6.56
602,7.22
603,10.54
604,8.5
605,6.68
606,2.22
607,8.01
608,4.17
609,8.37
610,8.27
611,8.5
612,7.84
613,7.78
614,5.35
615,10.67
616,5.04
617,6.08
618,14.0
619,5.52
620,7.86
621,4.92
622,10.32
623,8.14
624,5.560000000000001
625,6.110000000000004
626,4.92
627,6.110000000000004
628,4.55
629,6.55
630,7.87
631,5.69
632,7.05
633,5.63
634,5.51
635,7.22
636,6.17
637,8.86
638,5.71
639,4.44
640,8.0
641,6.36
642,5.0
643,8.69
644,4.56
645,10.930000000000001
646,7.78
647,6.92
648,5.22
649,9.39
650,7.99
651,5.63
652,7.86
653,6.05
654,8.739999999999998
655,4.58
656,7.63
657,5.02
658,4.56
659,6.12
660,9.33
661,6.110000000000004
662,6.670000000000001
663,6.110000000000004
664,1.59
665,10.930000000000001
666,8.200000000000001
667,7.51
668,4.87
669,11.12
670,6.64
671,9.840000000000002
672,5.560000000000001
673,4.94
674,7.39
675,10.3
676,10.19
677,6.67
678,4.64
679,7.38
680,2.22
681,3.33
682,7.19
683,6.110000000000004
684,7.25
685,7.16
